18:10:38,727 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:10:38,871 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:10:39,46 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:10:44,820 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:10:44,836 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:10:50,809 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/update-profile
18:11:24,880 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/update-profile
18:12:03,208 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:12:11,664 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/update-profile
18:12:18,568 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:12:18,616 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:12:26,472 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/update-profile
18:12:31,977 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:12:32,24 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:12:50,565 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:12:52,515 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:12:58,451 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:13:21,664 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:13:21,700 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:13:21,764 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:13:21,826 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:13:21,896 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:13:24,778 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:13:59,539 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:16:09,839 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:16:09,839 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:16:09,895 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:16:09,969 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:16:10,23 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
18:16:10,110 core.log_config INFO username: hoangtc, role: STUDENT, host: 0.0.0.0, api: /user/me
